0.886584	,-0.227213	,-1.012	,-0.402494	,0.0459	,-1.60089	,
0.879876	,-0.226018	,-1.0185	,-0.40644	,0.04635	,-1.61658	,
0.873168	,-0.224823	,-1.025	,-0.410386	,0.0468	,-1.63228	,
0.86646	,-0.223629	,-1.0315	,-0.414331	,0.04725	,-1.64797	,
0.859752	,-0.222434	,-1.038	,-0.418277	,0.0477	,-1.66367	,
0.853044	,-0.22124	,-1.04449	,-0.422223	,0.04815	,-1.67936	,
0.846336	,-0.220045	,-1.05099	,-0.426169	,0.0486	,-1.69506	,
0.839628	,-0.21885	,-1.05749	,-0.430115	,0.04905	,-1.71075	,
0.83292	,-0.217656	,-1.06399	,-0.434061	,0.0495	,-1.72645	,
0.826212	,-0.216461	,-1.07049	,-0.438007	,0.04995	,-1.74214	,
0.819504	,-0.215267	,-1.07699	,-0.441953	,0.0504	,-1.75784	,
0.812796	,-0.214072	,-1.08349	,-0.445899	,0.05085	,-1.77353	,
0.806088	,-0.212877	,-1.08999	,-0.449845	,0.0513	,-1.78923	,
0.79938	,-0.211683	,-1.09649	,-0.453791	,0.05175	,-1.80492	,
0.792673	,-0.210488	,-1.10299	,-0.457737	,0.0522	,-1.82062	,
0.785965	,-0.209293	,-1.10949	,-0.461683	,0.05265	,-1.83631	,
0.779257	,-0.208099	,-1.11599	,-0.465629	,0.0531	,-1.85201	,
0.772549	,-0.206904	,-1.12249	,-0.469575	,0.05355	,-1.8677	,
0.765841	,-0.20571	,-1.12899	,-0.473521	,0.054	,-1.8834	,
0.759133	,-0.204515	,-1.13549	,-0.477467	,0.05445	,-1.89909	,
0.752425	,-0.20332	,-1.14198	,-0.481413	,0.0549	,-1.91479	,
0.745717	,-0.202126	,-1.14848	,-0.485359	,0.05535	,-1.93048	,
0.739009	,-0.200931	,-1.15498	,-0.489305	,0.0558	,-1.94618	,
0.732301	,-0.199736	,-1.16148	,-0.493251	,0.05625	,-1.96187	,
0.725593	,-0.198542	,-1.16798	,-0.497197	,0.0567	,-1.97757	,
0.718885	,-0.197347	,-1.17448	,-0.501143	,0.05715	,-1.99326	,
0.712177	,-0.196153	,-1.18098	,-0.505089	,0.0576	,-2.00896	,
0.705469	,-0.194958	,-1.18748	,-0.509035	,0.05805	,-2.02465	,
0.698761	,-0.193763	,-1.19398	,-0.512981	,0.0585	,-2.04035	,
0.692053	,-0.192569	,-1.20048	,-0.516927	,0.05895	,-2.05604	,
0.685345	,-0.191374	,-1.20698	,-0.520873	,0.0594	,-2.07174	,
0.678637	,-0.19018	,-1.21348	,-0.524819	,0.05985	,-2.08743	,
0.671929	,-0.188985	,-1.21998	,-0.528765	,0.0603	,-2.10313	,
0.665221	,-0.18779	,-1.22648	,-0.532711	,0.06075	,-2.11882	,
0.658513	,-0.186596	,-1.23298	,-0.536657	,0.0612	,-2.13452	,
0.651805	,-0.185401	,-1.23947	,-0.540603	,0.06165	,-2.15021	,
0.645097	,-0.184206	,-1.24597	,-0.544549	,0.0621	,-2.16591	,
0.638389	,-0.183012	,-1.25247	,-0.548495	,0.06255	,-2.1816	,
0.631681	,-0.181817	,-1.25897	,-0.552441	,0.063	,-2.1973	,
0.624973	,-0.180623	,-1.26547	,-0.556387	,0.06345	,-2.21299	,
0.618265	,-0.179428	,-1.27197	,-0.560333	,0.0639	,-2.22869	,
0.611557	,-0.178233	,-1.27847	,-0.564279	,0.06435	,-2.24438	,
0.604849	,-0.177039	,-1.28497	,-0.568225	,0.0648	,-2.26008	,
0.598141	,-0.175844	,-1.29147	,-0.572171	,0.06525	,-2.27577	,
0.591433	,-0.17465	,-1.29797	,-0.576117	,0.0657	,-2.29147	,
0.584725	,-0.173455	,-1.30447	,-0.580063	,0.06615	,-2.30716	,
0.578017	,-0.17226	,-1.31097	,-0.584009	,0.0666	,-2.32286	,
0.571309	,-0.171066	,-1.31747	,-0.587955	,0.06705	,-2.33855	,
0.564601	,-0.169871	,-1.32397	,-0.5919	,0.0675	,-2.35425	,
0.557893	,-0.168676	,-1.33047	,-0.595846	,0.06795	,-2.36994	,
0.551185	,-0.167482	,-1.33696	,-0.599792	,0.0684	,-2.38564	,
0.544477	,-0.166287	,-1.34346	,-0.603738	,0.06885	,-2.40133	,
0.537769	,-0.165093	,-1.34996	,-0.607684	,0.0693	,-2.41703	,
0.531061	,-0.163898	,-1.35646	,-0.61163	,0.0697499	,-2.43272	,
0.524353	,-0.162703	,-1.36296	,-0.615576	,0.0701999	,-2.44842	,
0.517645	,-0.161509	,-1.36946	,-0.619522	,0.0706499	,-2.46411	,
0.510937	,-0.160314	,-1.37596	,-0.623468	,0.0710999	,-2.47981	,
